index,metric,metric_value,label
0,recall,0.9975490196078431,offer
0,fscore,0.9967855502831776,offer
0,recall,0.9962962962962963,missing_people
0,precision,0.9960232486999082,offer
0,recall,0.9960134927936216,shops
0,fscore,0.9955555555555556,shops
0,recall,0.9955487336914812,tools
0,precision,0.9950980392156863,shops
0,fscore,0.9950141903812229,tools
0,precision,0.9944802207911684,tools
0,accuracy,0.9935916997253585,offer
1,accuracy,0.9935916997253585,offer
0,fscore,0.9935364727608496,missing_people
0,recall,0.9928990429144797,hospitals
0,precision,0.9928715326204866,clothing
0,precision,0.992751388032079,fire
0,fscore,0.9922157996146436,fire
0,recall,0.9919641477360531,aid_centers
0,fscore,0.9918724359470548,clothing
0,recall,0.9916807887844709,fire
0,fscore,0.9914450867052023,hospitals
0,accuracy,0.9911504424778761,shops
1,accuracy,0.9911504424778761,shops
0,recall,0.990875347974018,clothing
0,precision,0.990791896869245,missing_people
0,accuracy,0.9900823924321025,tools
1,accuracy,0.9900823924321025,tools
0,precision,0.9899953824842235,hospitals
0,fscore,0.9899753238741518,aid_centers
0,recall,0.9896923317195064,cold
0,recall,0.9884824902723736,electricity
0,fscore,0.9883031815346226,cold
0,fscore,0.9880211574362165,electricity
0,precision,0.9879944589810682,aid_centers
0,recall,0.9876774294181875,money
0,precision,0.9875602550147722,electricity
0,fscore,0.9872154661677579,money
1,accuracy,0.9871833994507171,missing_people
0,accuracy,0.9871833994507171,missing_people
0,precision,0.9869179255567668,cold
0,precision,0.9867539348605268,money
0,recall,0.984624941761143,security
0,accuracy,0.9845895636252671,fire
1,accuracy,0.9845895636252671,fire
0,recall,0.9844437460716531,search_and_rescue
0,fscore,0.984013658233742,security
1,accuracy,0.9839792493133964,clothing
0,accuracy,0.9839792493133964,clothing
0,precision,0.9834031332402667,security
0,recall,0.9832826747720365,earthquake
0,accuracy,0.9830637778455905,hospitals
1,accuracy,0.9830637778455905,hospitals
0,recall,0.9817638736047791,military
0,fscore,0.9808987004853608,search_and_rescue
0,recall,0.98053295037498,death
0,fscore,0.9803030303030302,earthquake
0,fscore,0.9802998194804176,military
0,accuracy,0.9801647848642051,aid_centers
1,accuracy,0.9801647848642051,aid_centers
0,fscore,0.9789708459455154,death
0,precision,0.9788401253918495,military
0,recall,0.9780237668891422,water
0,recall,0.9778621125869703,refugees
0,precision,0.9774137108318753,death
0,precision,0.9773790951638065,search_and_rescue
0,precision,0.9773413897280967,earthquake
0,accuracy,0.977113213304852,cold
1,accuracy,0.977113213304852,cold
0,fscore,0.9767517476833036,water
1,accuracy,0.9765028989929814,electricity
0,accuracy,0.9765028989929814,electricity
0,fscore,0.9764724459182061,refugees
0,precision,0.9754830329598961,water
0,precision,0.9750867234310943,refugees
1,accuracy,0.9749771132133048,money
0,accuracy,0.9749771132133048,money
0,recall,0.9735616893914201,floods
0,recall,0.9732457545658443,medical_products
0,recall,0.9708722240102994,buildings
0,recall,0.9706866337422335,other_infrastructure
0,fscore,0.9703697787716637,medical_products
0,recall,0.9703112529928173,transport
0,fscore,0.97009165460685,buildings
0,precision,0.9693123393316195,buildings
0,recall,0.968609865470852,food
1,accuracy,0.9685688129386634,security
0,accuracy,0.9685688129386634,security
0,fscore,0.968456268918273,transport
0,precision,0.9677310924369747,storm
0,precision,0.9675107501194458,medical_products
0,fscore,0.9673688558446923,floods
0,fscore,0.9669126398476554,other_infrastructure
0,precision,0.9666083638098267,transport
0,fscore,0.9663505915918436,storm
0,fscore,0.9655290982549642,food
0,recall,0.965071368597817,shelter
0,recall,0.9649740237975533,storm
1,accuracy,0.9642966127555691,earthquake
0,accuracy,0.9642966127555691,earthquake
0,precision,0.9631678785962694,other_infrastructure
0,recall,0.9630522088353414,other_weather
1,accuracy,0.9627708269758926,search_and_rescue
0,accuracy,0.9627708269758926,search_and_rescue
0,fscore,0.9627271965826284,shelter
0,precision,0.9624678663239075,food
0,accuracy,0.961702776930119,military
1,accuracy,0.961702776930119,military
0,precision,0.9612543096371696,floods
0,precision,0.960394385026738,shelter
0,fscore,0.960352422907489,other_weather
1,accuracy,0.9597192554165395,death
0,accuracy,0.9597192554165395,death
0,precision,0.957667731629393,other_weather
0,recall,0.9569266589057043,medical_help
1,accuracy,0.9563625267012511,water
0,accuracy,0.9563625267012511,water
0,accuracy,0.9545315837656393,refugees
1,accuracy,0.9545315837656393,refugees
0,fscore,0.9485657764589515,medical_help
0,precision,0.9457959183673469,infrastructure_related
0,fscore,0.9446392172849573,infrastructure_related
0,recall,0.9434853420195439,infrastructure_related
1,accuracy,0.9433933475740006,medical_products
0,accuracy,0.9433933475740006,medical_products
1,accuracy,0.9432407689960329,buildings
0,accuracy,0.9432407689960329,buildings
0,precision,0.9403497303480961,medical_help
0,accuracy,0.9397314617027769,floods
1,accuracy,0.9397314617027769,floods
0,accuracy,0.9395788831248093,transport
1,accuracy,0.9395788831248093,transport
0,accuracy,0.938815990234971,storm
1,accuracy,0.938815990234971,storm
1,accuracy,0.938815990234971,food
0,accuracy,0.938815990234971,food
1,accuracy,0.9363747329874885,other_infrastructure
0,accuracy,0.9363747329874885,other_infrastructure
0,accuracy,0.9321025328043943,shelter
1,accuracy,0.9321025328043943,shelter
1,accuracy,0.9244736039060116,other_weather
0,accuracy,0.9244736039060116,other_weather
0,recall,0.9173323425599108,request
0,fscore,0.9101465302737075,request
1,accuracy,0.9047909673481843,medical_help
0,accuracy,0.9047909673481843,medical_help
0,recall,0.90469491823457,other_aid
0,precision,0.9030724213606437,request
0,recall,0.8996408197760406,weather_related
